cid,city,prov,region,year,resilience_index,resilience_std
411600,周口市,河南省,中部,2019,-2.226331971718562,-1.3790644846023818
411600,周口市,河南省,中部,2020,0.5513418934572039,0.3410872328820001
411600,周口市,河南省,中部,2021,-0.4153268492276019,-0.2575492445010338
411600,周口市,河南省,中部,2022,0.02946758683867494,0.017902068455207847
411600,周口市,河南省,中部,2023,1.6882286412522567,1.045135939363654
411700,驻马店市,河南省,中部,2016,-0.5538629153677797,-0.3433415526233832
411700,驻马店市,河南省,中部,2017,-1.0877267699254152,-0.6739515777359026
411700,驻马店市,河南省,中部,2018,-0.7568045489054384,-0.46901879783762646
411700,驻马店市,河南省,中部,2019,-1.583290971171941,-0.9808434783961143
411700,驻马店市,河南省,中部,2020,-0.12967194893596812,-0.08064951069683111
411700,驻马店市,河南省,中部,2021,-0.5118146692908507,-0.3173020079478032
411700,驻马店市,河南省,中部,2022,-0.3218216899514248,-0.19964357661860624
411700,驻马店市,河南省,中部,2023,1.276937459579942,0.7904324475643945
420100,武汉市,湖北省,中部,2016,0.10612547757001328,0.0653745971971297
420100,武汉市,湖北省,中部,2017,-0.7137996390931236,-0.4423868125634182
420100,武汉市,湖北省,中部,2018,-0.3437105745012028,-0.21319887654930397
420100,武汉市,湖北省,中部,2019,-0.19609985639813673,-0.12178683806363211
420100,武汉市,湖北省,中部,2020,2.706786087829306,1.6759059383372914
420100,武汉市,湖北省,中部,2021,-0.5499276223323599,-0.34090451307077424
420100,武汉市,湖北省,中部,2022,0.5431326718259345,0.33600344429714246
420100,武汉市,湖北省,中部,2023,0.16960581134623726,0.1046865576618417
420200,黄石市,湖北省,中部,2016,0.24015836596959966,0.14837818738476025
420200,黄石市,湖北省,中部,2017,-1.2740367484094324,-0.7893292084547923
420200,黄石市,湖北省,中部,2018,-0.2944544808908122,-0.18269567202168266
420200,黄石市,湖北省,中部,2019,-0.9627121351986732,-0.5965327917034826
420200,黄石市,湖北省,中部,2020,2.1580304082677104,1.3360737368281135
420200,黄石市,湖北省,中部,2021,-1.6970324657033198,-1.0512810591432014
420200,黄石市,湖北省,中部,2022,-0.8229012661036791,-0.509951026431511
420200,黄石市,湖北省,中部,2023,-0.14301807833975386,-0.08891447214659373
420300,十堰市,湖北省,中部,2016,-0.6699723963714292,-0.4152455747869102
420300,十堰市,湖北省,中部,2017,-1.3326802422259476,-0.8256458213849356
420300,十堰市,湖北省,中部,2018,-0.6734133820967844,-0.4173765008036456
420300,十堰市,湖北省,中部,2019,-1.7663419771062578,-1.0942028998144506
420300,十堰市,湖北省,中部,2020,1.2795056962780937,0.7920228994970775
420300,十堰市,湖北省,中部,2021,-1.4099793246747039,-0.8735154259131048
420300,十堰市,湖北省,中部,2022,0.17442790517050497,0.10767277324232348
420300,十堰市,湖北省,中部,2023,-0.02884755224733762,-0.018211201684876662
420500,宜昌市,湖北省,中部,2016,-0.3795807528915732,-0.2354124811550277
420500,宜昌市,湖北省,中部,2017,0.7118068871376979,0.44045963866951543
420500,宜昌市,湖北省,中部,2018,-0.12437133051765338,-0.07736695546588557
420500,宜昌市,湖北省,中部,2019,-0.44685287804913376,-0.2770726137859259
420500,宜昌市,湖北省,中部,2020,2.16567793083269,1.3408096776596041
420500,宜昌市,湖北省,中部,2021,-1.756287573356702,-1.0879764309352522
420500,宜昌市,湖北省,中部,2022,-0.021502828667154306,-0.013662777537860788
420500,宜昌市,湖北省,中部,2023,0.10852396995038768,0.06685993024475628
420600,襄阳市,湖北省,中部,2016,-0.4426179216562528,-0.2744499993731915
420600,襄阳市,湖北省,中部,2017,-0.8209990245032401,-0.508773010467474
420600,襄阳市,湖北省,中部,2018,-0.1804771017673902,-0.11211201318702076
420600,襄阳市,湖北省,中部,2019,-1.0999187683734273,-0.68150181152427
420600,襄阳市,湖北省,中部,2020,1.867270515337477,1.156012594492432
420600,襄阳市,湖北省,中部,2021,-1.5079977660668489,-0.9342160691454489
420600,襄阳市,湖北省,中部,2022,0.010520682253882113,0.006168671359475818
420600,襄阳市,湖北省,中部,2023,0.4372018539423802,0.27040284208051363
420700,鄂州市,湖北省,中部,2016,-0.4564685959925189,-0.2830274142909566
420700,鄂州市,湖北省,中部,2017,-1.1940245017904143,-0.7397794016300884
420700,鄂州市,湖北省,中部,2018,-0.7891678626138152,-0.489060679052298
420700,鄂州市,湖北省,中部,2019,-1.3224530190021035,-0.8193123292445693
420700,鄂州市,湖北省,中部,2020,2.905144841381631,1.7987451077872663
420700,鄂州市,湖北省,中部,2021,-1.0676207772130604,-0.6615003831124125
420700,鄂州市,湖北省,中部,2022,0.7250938819324795,0.4486879793696225
420700,鄂州市,湖北省,中部,2023,0.8604424134836214,0.5325063181334332
420800,荆门市,湖北省,中部,2016,-0.5039043549377045,-0.3124033259999336
420800,荆门市,湖北省,中部,2017,-0.8173808519710501,-0.5065323565975469
420800,荆门市,湖北省,中部,2018,-1.0805317115677329,-0.6694958379363044
420800,荆门市,湖北省,中部,2019,-0.9199525740745547,-0.5700527454213477
420800,荆门市,湖北省,中部,2020,1.568713254607529,0.9711227155002651
420800,荆门市,湖北省,中部,2021,-1.2237441950999781,-0.7581841474609387
420800,荆门市,湖北省,中部,2022,0.9040888757861978,0.5595356026124961
420800,荆门市,湖北省,中部,2023,0.07528735971052031,0.04627723588879051
420900,孝感市,湖北省,中部,2016,-0.2080798505619973,-0.1292057823085907
420900,孝感市,湖北省,中部,2017,-0.984280303175682,-0.6098894789855209
420900,孝感市,湖北省,中部,2018,-0.82360970842523,-0.5103897490228968
420900,孝感市,湖北省,中部,2019,-2.218350430068492,-1.3741216931718723
420900,孝感市,湖北省,中部,2020,0.6126985284854432,0.3790840338909658
420900,孝感市,湖北省,中部,2021,-1.6405165318430683,-1.0162819968293133
420900,孝感市,湖北省,中部,2022,0.17882161341075117,0.11039369914739065
420900,孝感市,湖北省,中部,2023,-0.35979148459411453,-0.22315742692551369
421000,荆州市,湖北省,中部,2016,-0.5449779136702744,-0.33783926845625034
421000,荆州市,湖北省,中部,2017,-0.9255334467452001,-0.573508855884793
421000,荆州市,湖北省,中部,2018,-0.07353879186695392,-0.0458874935462052
421000,荆州市,湖北省,中部,2019,-1.9477110014342909,-1.20652070738996
421000,荆州市,湖北省,中部,2020,1.9865033072369864,1.229850813708071
421000,荆州市,湖北省,中部,2021,-1.5452154440892796,-0.9572641503380239
421000,荆州市,湖北省,中部,2022,-0.6038605768741258,-0.37430399367472017
421000,荆州市,湖北省,中部,2023,0.09462077535434181,0.058249990696869675
421100,黄冈市,湖北省,中部,2016,-0.5143662010318678,-0.31888211487164064
421100,黄冈市,湖北省,中部,2017,-1.389260721141591,-0.860684855017732
421100,黄冈市,湖北省,中部,2018,-0.19985735308885522,-0.12411377228978983
421100,黄冈市,湖北省,中部,2019,-1.4053185279896476,-0.8706290980676513
421100,黄冈市,湖北省,中部,2020,2.275170632985191,1.4086160756752013
421100,黄冈市,湖北省,中部,2021,-2.6856440877374483,-1.6635062742367734
421100,黄冈市,湖北省,中部,2022,-0.7073234257086625,-0.43837623748628574
421100,黄冈市,湖北省,中部,2023,-0.5434404847654872,-0.3368871728901597
421200,咸宁市,湖北省,中部,2016,-0.042795210968202456,-0.02684867687747401
421200,咸宁市,湖北省,中部,2017,-0.6765297844723965,-0.41930641956264375
